dress_id,name,type,color,color_family,suitable_skin_tones,suitable_body_types,occasion,style_category,fabric,price_range,image_url,description,myntra_url,flipkart_url,meesho_url
DRS0001,Luxe Wine Lehenga,Lehenga,Wine,Red,Dusky|Wheatish,Hourglass|Inverted Triangle,Festive|Party|Wedding,Traditional,Silk,₹3000-₹8000,https://picsum.photos/seed/lehenga-1/600/800,"A traditional lehenga in wine with mirror work, crafted in silk for wedding, party, festive moments.",https://www.myntra.com/lehenga-wine?rawQuery=Luxe+Wine+Lehenga+Wedding+Party+Festive,https://www.flipkart.com/search?q=Luxe+Wine+Lehenga+Wedding+Party+Festive,https://meesho.com/search?q=lehenga+wine
DRS0002,Floral Smoky Black Kurti,Kurti,Smoky Black,Black,Dusky|Fair,Apple|Hourglass|Pear|Rectangle,Casual,Traditional,Silk,₹1000-₹3000,https://picsum.photos/seed/kurti-2/600/800,"A traditional kurti in smoky black with pearl accents, crafted in silk for casual moments.",https://www.myntra.com/kurti-smoky-black?rawQuery=Floral+Smoky+Black+Kurti+Casual,https://www.flipkart.com/search?q=Floral+Smoky+Black+Kurti+Casual,https://meesho.com/search?q=kurti+smoky-black
DRS0003,Embroidered Taupe Lehenga,Lehenga,Taupe,Neutral,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle,Festive|Party|Wedding,Indo-Western,Net,₹3000-₹8000,https://picsum.photos/seed/lehenga-3/600/800,"A indo-western lehenga in taupe with thread embroidery, crafted in net for festive, wedding, party moments.",https://www.myntra.com/lehenga-taupe?rawQuery=Embroidered+Taupe+Lehenga+Festive+Wedding+Party,https://www.flipkart.com/search?q=Embroidered+Taupe+Lehenga+Festive+Wedding+Party,https://meesho.com/search?q=lehenga+taupe
DRS0004,Floral Navy Gown,Gown,Navy,Blue,Deep|Dusky,Apple|Inverted Triangle,Date Night|Wedding,Western,Georgette,₹3000-₹8000,https://picsum.photos/seed/gown-4/600/800,"A western gown in navy with flowy hemline, crafted in georgette for date night, wedding moments.",https://www.myntra.com/gown-navy?rawQuery=Floral+Navy+Gown+Date+Night+Wedding,https://www.flipkart.com/search?q=Floral+Navy+Gown+Date+Night+Wedding,https://meesho.com/search?q=gown+navy
DRS0005,Minimal Charcoal Salwar Suit,Salwar Suit,Charcoal,Black,Deep|Fair|Wheatish,Hourglass|Inverted Triangle|Pear,Casual|Festive,Traditional,Silk,₹1000-₹3000,https://picsum.photos/seed/salwar-suit-5/600/800,"A traditional salwar suit in charcoal with flowy hemline, crafted in silk for casual, festive moments.",https://www.myntra.com/salwar-suit-charcoal?rawQuery=Minimal+Charcoal+Salwar+Suit+Casual+Festive,https://www.flipkart.com/search?q=Minimal+Charcoal+Salwar+Suit+Casual+Festive,https://meesho.com/search?q=salwar-suit+charcoal
DRS0006,Minimal Mauve Western Dress,Western Dress,Mauve,Pink,Deep|Dusky|Fair|Wheatish,Apple|Pear,Date Night,Fusion,Net,₹1000-₹3000,https://picsum.photos/seed/western-dress-6/600/800,"A fusion western dress in mauve with sequin highlights, crafted in net for date night moments.",https://www.myntra.com/western-dress-mauve?rawQuery=Minimal+Mauve+Western+Dress+Date+Night,https://www.flipkart.com/search?q=Minimal+Mauve+Western+Dress+Date+Night,https://meesho.com/search?q=western-dress+mauve
DRS0007,Graceful Royal Blue Maxi Dress,Maxi Dress,Royal Blue,Blue,Deep|Dusky|Fair,Apple|Inverted Triangle|Rectangle,Casual|Date Night|Festive,Western,Cotton,₹1000-₹3000,https://picsum.photos/seed/maxi-dress-7/600/800,"A western maxi dress in royal blue with ombre dyeing, crafted in cotton for festive, date night, casual moments.",https://www.myntra.com/maxi-dress-royal-blue?rawQuery=Graceful+Royal+Blue+Maxi+Dress+Festive+Date+Night+Casual,https://www.flipkart.com/search?q=Graceful+Royal+Blue+Maxi+Dress+Festive+Date+Night+Casual,https://meesho.com/search?q=maxi-dress+royal-blue
DRS0008,Graceful Powder Blue Western Dress,Western Dress,Powder Blue,Blue,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Inverted Triangle|Pear,Date Night,Fusion,Cotton,₹1000-₹3000,https://picsum.photos/seed/western-dress-8/600/800,"A fusion western dress in powder blue with structured silhouette, crafted in cotton for date night moments.",https://www.myntra.com/western-dress-powder-blue?rawQuery=Graceful+Powder+Blue+Western+Dress+Date+Night,https://www.flipkart.com/search?q=Graceful+Powder+Blue+Western+Dress+Date+Night,https://meesho.com/search?q=western-dress+powder-blue
DRS0009,Graceful Cream Saree,Saree,Cream,Neutral,Deep|Fair,Hourglass|Inverted Triangle,Festive|Wedding,Traditional,Silk,₹3000-₹8000,https://picsum.photos/seed/saree-9/600/800,"A traditional saree in cream with sequin highlights, crafted in silk for festive, wedding moments.",https://www.myntra.com/saree-cream?rawQuery=Graceful+Cream+Saree+Festive+Wedding,https://www.flipkart.com/search?q=Graceful+Cream+Saree+Festive+Wedding,https://meesho.com/search?q=saree+cream
DRS0010,Minimal Burnt Orange Salwar Suit,Salwar Suit,Burnt Orange,Orange,Deep|Dusky|Fair,Apple|Inverted Triangle|Pear|Rectangle,Festive|Office|Wedding,Traditional,Silk,₹3000-₹8000,https://picsum.photos/seed/salwar-suit-10/600/800,"A traditional salwar suit in burnt orange with zari border, crafted in silk for wedding, office, festive moments.",https://www.myntra.com/salwar-suit-burnt-orange?rawQuery=Minimal+Burnt+Orange+Salwar+Suit+Wedding+Office+Festive,https://www.flipkart.com/search?q=Minimal+Burnt+Orange+Salwar+Suit+Wedding+Office+Festive,https://meesho.com/search?q=salwar-suit+burnt-orange
DRS0011,Statement Coral Western Dress,Western Dress,Coral,Red,Deep|Dusky|Fair,Apple|Hourglass|Inverted Triangle|Pear,Party,Western,Net,₹500-₹1000,https://picsum.photos/seed/western-dress-11/600/800,"A western western dress in coral with ruffled drape, crafted in net for party moments.",https://www.myntra.com/western-dress-coral?rawQuery=Statement+Coral+Western+Dress+Party,https://www.flipkart.com/search?q=Statement+Coral+Western+Dress+Party,https://meesho.com/search?q=western-dress+coral
