dress_id,name,type,color,color_family,suitable_skin_tones,suitable_body_types,occasion,style_category,fabric,pattern,fit,season,gender,brand,price_range,price_min,price_max,price,mrp,discount_pct,rating,rating_count,care,tags,description,image_url,myntra_url,flipkart_url,meesho_url
DRS0001,Luxe Wine Lehenga,Lehenga,Wine,Red,Dusky|Wheatish,Hourglass|Inverted Triangle,Festive|Party|Wedding,Traditional,Silk,Floral,Flared,Winter|Festive,Women,Biba,₹3000-₹8000,3000,8000,3912,6300,37.9,4.7,405,Dry clean only,festive|wedding|winter festive|wine|silk|floral|dusky|lehenga|wheatish|red|party|traditional,"A traditional lehenga in wine with floral design. Crafted in Silk (Dry clean only). Perfect for Festive, Party, Wedding. Best suited for Dusky, Wheatish skin tones and Hourglass, Inverted Triangle body types. By Biba.",https://picsum.photos/seed/lehenga-wine-0/600/800,https://www.myntra.com/lehenga-wine?rawQuery=Luxe+Wine+Lehenga+Wedding+Party+Festive,https://www.flipkart.com/search?q=Luxe+Wine+Lehenga+Wedding+Party+Festive,https://meesho.com/search?q=lehenga+wine
DRS0002,Floral Smoky Black Kurti,Kurti,Smoky Black,Black,Dusky|Fair,Apple|Hourglass|Pear|Rectangle,Casual,Traditional,Silk,Floral,Regular,Winter|Festive,Women,Biba,₹1000-₹3000,1000,3000,1051,1474,28.7,3.3,724,Dry clean only,smoky black|winter festive|fair|kurti|silk|floral|dusky|casual|black|traditional,"A traditional kurti in smoky black with floral design. Crafted in Silk (Dry clean only). Perfect for Casual. Best suited for Dusky, Fair skin tones and Apple, Hourglass, Pear, Rectangle body types. By Biba.",https://picsum.photos/seed/kurti-smoky-black-1/600/800,https://www.myntra.com/kurti-smoky-black?rawQuery=Floral+Smoky+Black+Kurti+Casual,https://www.flipkart.com/search?q=Floral+Smoky+Black+Kurti+Casual,https://meesho.com/search?q=kurti+smoky-black
DRS0003,Embroidered Taupe Lehenga,Lehenga,Taupe,Neutral,Deep|Dusky|Fair|Wheatish,Apple|Inverted Triangle,Festive|Party|Wedding,Indo-Western,Net,Embroidered,Flared,Summer|Festive,Women,Anouk,₹3000-₹8000,3000,8000,5253,8285,36.6,4.2,201,Hand wash cold,festive|wedding|deep|fair|neutral|indo-western|dusky|taupe|net|lehenga|wheatish|summer festive|embroidered|party,"A indo-western lehenga in taupe with embroidered design. Crafted in Net (Hand wash cold). Perfect for Festive, Party, Wedding. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Inverted Triangle body types. By Anouk.",https://picsum.photos/seed/lehenga-taupe-2/600/800,https://www.myntra.com/lehenga-taupe?rawQuery=Embroidered+Taupe+Lehenga+Festive+Wedding+Party,https://www.flipkart.com/search?q=Embroidered+Taupe+Lehenga+Festive+Wedding+Party,https://meesho.com/search?q=lehenga+taupe
DRS0004,Floral Navy Gown,Gown,Navy,Blue,Deep|Dusky,Apple|Inverted Triangle,Date Night|Wedding,Western,Georgette,Floral,Fitted,All Season,Unisex,Zara,₹3000-₹8000,3000,8000,5006,6814,26.5,4.7,518,Hand wash cold,blue|wedding|deep|navy|date night|gown|floral|dusky|all season|georgette|western,"A western gown in navy with floral design. Crafted in Georgette (Hand wash cold). Perfect for Date Night, Wedding. Best suited for Deep, Dusky skin tones and Apple, Inverted Triangle body types. By Zara.",https://picsum.photos/seed/gown-navy-3/600/800,https://www.myntra.com/gown-navy?rawQuery=Floral+Navy+Gown+Date+Night+Wedding,https://www.flipkart.com/search?q=Floral+Navy+Gown+Date+Night+Wedding,https://meesho.com/search?q=gown+navy
DRS0005,Minimal Charcoal Salwar Suit,Salwar Suit,Charcoal,Black,Deep|Fair|Wheatish,Hourglass|Inverted Triangle|Pear,Casual|Festive,Traditional,Silk,Embroidered,Regular,Winter|Festive,Women,Soch,₹1000-₹3000,1000,3000,1457,1724,15.5,4.0,1447,Dry clean only,festive|charcoal|deep|winter festive|fair|silk|wheatish|embroidered|casual|black|salwar suit|traditional,"A traditional salwar suit in charcoal with embroidered design. Crafted in Silk (Dry clean only). Perfect for Casual, Festive. Best suited for Deep, Fair, Wheatish skin tones and Hourglass, Inverted Triangle, Pear body types. By Soch.",https://picsum.photos/seed/salwar-suit-charcoal-4/600/800,https://www.myntra.com/salwar-suit-charcoal?rawQuery=Minimal+Charcoal+Salwar+Suit+Casual+Festive,https://www.flipkart.com/search?q=Minimal+Charcoal+Salwar+Suit+Casual+Festive,https://meesho.com/search?q=salwar-suit+charcoal
DRS0006,Minimal Mauve Western Dress,Western Dress,Mauve,Pink,Deep|Dusky|Fair|Wheatish,Apple|Pear,Date Night,Fusion,Net,Floral,Bodycon,Summer|Festive,Unisex,Sangria,₹1000-₹3000,1000,3000,1285,1694,24.1,3.7,1048,Hand wash cold,deep|pink|fair|fusion|western dress|date night|floral|dusky|net|wheatish|summer festive|mauve,"A fusion western dress in mauve with floral design. Crafted in Net (Hand wash cold). Perfect for Date Night. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Pear body types. By Sangria.",https://picsum.photos/seed/western-dress-mauve-5/600/800,https://www.myntra.com/western-dress-mauve?rawQuery=Minimal+Mauve+Western+Dress+Date+Night,https://www.flipkart.com/search?q=Minimal+Mauve+Western+Dress+Date+Night,https://meesho.com/search?q=western-dress+mauve
DRS0007,Graceful Royal Blue Maxi Dress,Maxi Dress,Royal Blue,Blue,Deep|Dusky|Fair,Apple|Inverted Triangle|Rectangle,Casual|Date Night|Festive,Western,Cotton,Embroidered,Flowy,Summer|Monsoon,Women,Forever 21,₹1000-₹3000,1000,3000,2508,2640,5.0,4.4,782,Machine wash cold,cotton|blue|festive|maxi dress|deep|fair|date night|dusky|summer monsoon|embroidered|casual|royal blue|western,"A western maxi dress in royal blue with embroidered design. Crafted in Cotton (Machine wash cold). Perfect for Casual, Date Night, Festive. Best suited for Deep, Dusky, Fair skin tones and Apple, Inverted Triangle, Rectangle body types. By Forever 21.",https://picsum.photos/seed/maxi-dress-royal-blue-6/600/800,https://www.myntra.com/maxi-dress-royal-blue?rawQuery=Graceful+Royal+Blue+Maxi+Dress+Festive+Date+Night+Casual,https://www.flipkart.com/search?q=Graceful+Royal+Blue+Maxi+Dress+Festive+Date+Night+Casual,https://meesho.com/search?q=maxi-dress+royal-blue
DRS0008,Graceful Powder Blue Western Dress,Western Dress,Powder Blue,Blue,Deep|Dusky|Fair|Wheatish,Apple|Hourglass|Inverted Triangle|Pear,Date Night,Fusion,Cotton,Floral,Bodycon,Summer|Monsoon,Unisex,Rangriti,₹1000-₹3000,1000,3000,1209,1423,15.0,4.9,1093,Machine wash cold,powder blue|cotton|blue|deep|fair|fusion|western dress|date night|floral|dusky|wheatish|summer monsoon,"A fusion western dress in powder blue with floral design. Crafted in Cotton (Machine wash cold). Perfect for Date Night. Best suited for Deep, Dusky, Fair, Wheatish skin tones and Apple, Hourglass, Inverted Triangle, Pear body types. By Rangriti.",https://picsum.photos/seed/western-dress-powder-blue-7/600/800,https://www.myntra.com/western-dress-powder-blue?rawQuery=Graceful+Powder+Blue+Western+Dress+Date+Night,https://www.flipkart.com/search?q=Graceful+Powder+Blue+Western+Dress+Date+Night,https://meesho.com/search?q=western-dress+powder-blue
DRS0009,Graceful Cream Saree,Saree,Cream,Neutral,Deep|Fair,Hourglass|Inverted Triangle,Festive|Wedding,Traditional,Silk,Embroidered,Draped,Winter|Festive,Women,Jaipur Kurti,₹3000-₹8000,3000,8000,7467,9339,20.0,4.4,283,Dry clean only,festive|wedding|deep|winter festive|fair|silk|cream|neutral|saree|embroidered|traditional,"A traditional saree in cream with embroidered design. Crafted in Silk (Dry clean only). Perfect for Festive, Wedding. Best suited for Deep, Fair skin tones and Hourglass, Inverted Triangle body types. By Jaipur Kurti.",https://picsum.photos/seed/saree-cream-8/600/800,https://www.myntra.com/saree-cream?rawQuery=Graceful+Cream+Saree+Festive+Wedding,https://www.flipkart.com/search?q=Graceful+Cream+Saree+Festive+Wedding,https://meesho.com/search?q=saree+cream
DRS0010,Minimal Burnt Orange Salwar Suit,Salwar Suit,Burnt Orange,Orange,Deep|Dusky|Fair,Apple|Inverted Triangle|Pear|Rectangle,Festive|Office|Wedding,Traditional,Silk,Floral,Regular,Winter|Festive,Women,Soch,₹3000-₹8000,3000,8000,3712,4969,25.3,4.9,94,Dry clean only,festive|wedding|deep|orange|salwar suit|winter festive|fair|silk|floral|dusky|office|burnt orange|traditional,"A traditional salwar suit in burnt orange with floral design. Crafted in Silk (Dry clean only). Perfect for Festive, Office, Wedding. Best suited for Deep, Dusky, Fair skin tones and Apple, Inverted Triangle, Pear, Rectangle body types. By Soch.",https://picsum.photos/seed/salwar-suit-burnt-orange-9/600/800,https://www.myntra.com/salwar-suit-burnt-orange?rawQuery=Minimal+Burnt+Orange+Salwar+Suit+Wedding+Office+Festive,https://www.flipkart.com/search?q=Minimal+Burnt+Orange+Salwar+Suit+Wedding+Office+Festive,https://meesho.com/search?q=salwar-suit+burnt-orange
